"FISCAL_YYYY","FISCAL_MONTH","BUSINESS_UNIT","BILL_TO_CUSTOMER_NUMBER","MANUFACTURER","PART_NUMBER","WAREHOUSE","ITEM","APFC_LEVEL_1","NSB","COST","GPD","INV_QTY","NETBOOKING","LOST_FLAG"
2019,1,"LARGE-MEGA-HONGKONG",2088384,"ADI","AD1940YSTZRL","A01","AD1940YSTZRL^ADI-CSP1","Semiconductor",11760,11352.32,407.68,4000,52920,1
2019,1,"LARGE-MEGA-HONGKONG",2088384,"ADI","AD5204BRZ10-REEL","A01","AD5204BRZ10-REEL^ADI","Semiconductor",8540,8265.88,274.120000000001,7000,0,1
2019,1,"LARGE-MEGA-HONGKONG",2088385,"ADI","AD5247BKSZ10-2RL7","A01","AD5247BKSZ10-2RL7^ADI","Semiconductor",1296,1246.74,49.26,3000,-1296,1
2019,1,"LARGE-MEGA-HONGKONG",2088384,"ADI","AD5262BRUZ20-RL7","A01","AD5262BRUZ20-RL7^ADI","Semiconductor",1650,1597.44,52.5600000000002,1000,0,1
2019,1,"LARGE-MEGA-HONGKONG",2151667,"ADI","AD5262BRUZ20-RL7","A01","AD5262BRUZ20-RL7^ADI","Semiconductor",13200,12804.72,395.280000000001,8000,6600,1
2019,1,"LARGE-MEGA-HONGKONG",2151667,"ADI","AD5290YRMZ10","A01","AD5290YRMZ10^ADI","Semiconductor",92.5,84.8025,7.69750000000001,50,555,1
2019,1,"LARGE-MEGA-HONGKONG",2088384,"ADI","AD5290YRMZ10-R7","A01","AD5290YRMZ10-R7^ADI","Semiconductor",0,0,0,0,5103,0
2019,1,"LARGE-MEGA-HONGKONG",2151667,"ADI","AD5290YRMZ100","A01","AD5290YRMZ100^ADI","Semiconductor",0,0,0,0,555,0
2019,1,"LARGE-MEGA-HONGKONG",2151667,"ADI","AD5554BRSZ","A01","AD5554BRSZ^ADI","Semiconductor",0,0,0,0,-2140.38,0
2019,1,"LARGE-MEGA-HONGKONG",2151667,"ADI","AD8092ARZ","A01","AD8092ARZ^ADI","Semiconductor",342.608,329.78568,12.82232,392,171.304,1
2019,1,"LARGE-MEGA-HONGKONG",2088384,"ADI","AD8465WBCPZ-R7","A01","AD8465WBCPZ-R7^ADI","Semiconductor",3890.25,3755.385,134.865,1500,3890.25,1
