"CUSTOMER","BU","NSB_LAST","COST","NETBOOK","NOOFMFGR","INV_QTY","NOOFMTHPURCHASE","NOOFMTHPURCHASE_Q4","NOOFPART","NOOFAPFC3","CUST_LOSS","FSO","BSO"
"O-FILM GLOBAL (HK) TRADING LIMITED/SPECIALTY-ATM-CHINA1","SPECIALTY-ATM-CHINA1",16412022.27,14166027.80212,17034470.8914,1,19755781,6,3,6,1,1,0,0
"TAIDOC TECHNOLOGY CORPORATION/SPECIALTY-ATM-TAIWAN","SPECIALTY-ATM-TAIWAN",3642,3335.04,7699.5,1,144000,2,2,2,2,1,0,624
"BAE SYSTEMS AUSTRALIA LIMITED/BRANCH-ANZ","BRANCH-ANZ",386705.0143259421756,306448.8333516366612,5491.1,13,55420,10,3,43,22,1,0,0
"AGILENT TECHNOLOGIES LDA MALAYSIA SDN BHD/BRANCH-ANZ","BRANCH-ANZ",274909.655056205824,219952.4927623357623,201195.382896695953,8,19965,12,3,21,12,1,6846.52,0
"SECURE METERS (AUSTRALIA) PTY LTD/BRANCH-ANZ","BRANCH-ANZ",5597.937408624903,3902.6315414449907,-85.4429679446696,3,22500,4,0,3,3,1,0,0
"CHANGZHOU CSI.LTD/BRANCH-NANJING","BRANCH-NANJING",566091.8184,491392.2122389709989,348195.250200000000326,37,7829538,12,3,265,37,1,259526.5,0
"ALANE INTERNATIONAL CO.,LTD/BRANCH-SUZHOU","BRANCH-SUZHOU",2321532.959930780126,2155231.245817637092,1792180.667924634151945,35,20126435,12,3,188,37,1,155714,0
"GLB-CONTROL INTELLIGENT POWER TECHNOLOGIES(SHANGHAI) CO.,LTD./BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",14525.332732327373,13091.379936891447,13457.93297225085,2,5860,3,0,4,4,1,0,107319.489180349659
"SUZHOU MILLIMETER-WAVE TECHNOLOGY CO.,LTD/BRANCH-SHANGHAI1","BRANCH-SHANGHAI1",14817.2575296435312,8606.391531021846,332.460291734198,4,26150,4,0,11,7,1,0,31888.08784266535
"QINGDAO TOPSCOMM LTD/BRANCH-CHINA-NORTHEAST","BRANCH-CHINA-NORTHEAST",2030750.5806465889906,1931648.0209669483176,2433385.831984792364868,11,9982065,12,3,70,24,1,0,281467.06760112435
"HAIER/BRANCH-CHINA-NORTHEAST","BRANCH-CHINA-NORTHEAST",21420849.662114875700423,20172372.310555781860594,20829290.797906068132605,19,209042561,12,3,260,28,1,0,3390
"UNI-TREND TECHNOLOGY (CHINA) L/BRANCH-CHINASOUTH","BRANCH-CHINASOUTH",72019.113024890627,62124.08393343237,67016.11256730958629,3,22110,9,2,11,7,1,0,0
"FOSHAN YIFENG ELECTRICAL/BRANCH-CHINASOUTH","BRANCH-CHINASOUTH",526589.041906726287,427681.491121317786,447928.0443723058013,1,1017000,12,3,53,1,1,0,8358.37206085754
"BAJA ELECTRONICS TECHNOLOGY CO/BRANCH-CHINASOUTH","BRANCH-CHINASOUTH",807294.49,732758.76008000001,627962.729999999995453,26,4103033,12,3,67,31,1,0,0
"SHENZHEN FENDA TECHNOLOGY CO.,LTD./BRANCH-SHENZHEN2","BRANCH-SHENZHEN2",698013.698854930854,626372.433162799729,236398.522048325769483,19,1080642,11,3,34,18,1,0,27821.47375079059
"SHENZHEN HANSHINE TECHNOLOGY CO., LTD/BRANCH-SHENZHEN2","BRANCH-SHENZHEN2",20547.38,18614.94216755434,1064.88,4,120100,5,1,4,4,1,0,428386.4
"ALLTRONICS TECH MFG LTD/BRANCH-HONGKONG1","BRANCH-HONGKONG1",684469.7441761949886,614300.9114460723246,344315.340665222589446,26,1484653,12,3,78,27,1,0,41397.48922846319
"THE REFINED INDUSTRY CO., LTD./BRANCH-HONGKONG1","BRANCH-HONGKONG1",825221.785364512377,729555.5761732813884,275060.700667052635363,19,2204309,12,3,87,27,1,0,0
"HIP SHING ELECTRONICS LTD./BRANCH-HONGKONG1","BRANCH-HONGKONG1",373546.55,349091.5,155741.600000000000483,7,2727000,12,3,12,9,1,0,2970
"KATATA ELECTRIC (HK) CO LTD/BRANCH-HONGKONG2","BRANCH-HONGKONG2",84064.28,78115.30607,36757.2,8,136260,11,3,21,11,1,0,0
"IMI TECHNOLOGY (SHENZHEN) CO., LTD./BRANCH-HONGKONG2","BRANCH-HONGKONG2",587162.8196,566011.82135,562106.147899999994185,16,6049233,4,3,174,32,1,86461.2836,0
"TRIO ENGINEERING CO., LTD./BRANCH-HONGKONG2","BRANCH-HONGKONG2",1299793.89556,1154153.591425966621,617546.241420000372913,37,13638915,12,3,418,41,1,0,0
"DONGGUAN HUBBELL ELECTRICAL PRODUCTS CO., LTD/BRANCH-HONGKONG2","BRANCH-HONGKONG2",1368781.32188193695271,1187680.737868628326286,850898.657860377745088,34,12847056,12,3,143,28,1,0,17922.21526272809
